SGS Bonds and T-bills & CMTBs Auction Result Data

Issue Code,ISIN Code,Product Type,Term to Maturity at Auction,Auction Amount (S$M),Auction Date,Issue Date,Maturity Date,Amount Applied (S$M),Coupon Rate (%),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
BS12100F,SG6U38980657,T-bills,182,2000,09/07/2012,12/07/2012,10/01/2013,3937.8,N/A,1.97,0.23,99.885,0.18,99.910,0.18,99.910
BS12101Z,SG6U39980664,T-bills,182,2000,23/07/2012,26/07/2012,24/01/2013,3618.9,N/A,1.81,0.19,99.905,0.17,99.915,0.15,99.925
BS12102S,SG6U40980679,T-bills,181,2000,06/08/2012,10/08/2012,07/02/2013,3365.1,N/A,1.68,0.28,99.861,0.18,99.911,0.19,99.906
BS12103H,SG6U41980686,T-bills,182,2000,17/08/2012,23/08/2012,21/02/2013,3390.0,N/A,1.69,0.30,99.850,0.27,99.865,0.24,99.880
BS12104T,SG6U42980693,T-bills,182,2000,03/09/2012,06/09/2012,07/03/2013,3920.0,N/A,1.96,0.29,99.855,0.24,99.880,0.24,99.880
BS12105X,SG6U43980700,T-bills,182,2000,17/09/2012,20/09/2012,21/03/2013,3235.0,N/A,1.62,0.37,99.816,0.30,99.850,0.27,99.865
BS12106W,SG6U44980717,T-bills,182,2000,01/10/2012,04/10/2012,04/04/2013,3692.2,N/A,1.85,0.34,99.830,0.30,99.850,0.30,99.850
BS12107N,SG6U45980724,T-bills,182,2000,15/10/2012,18/10/2012,18/04/2013,4393.1,N/A,2.20,0.27,99.865,0.22,99.890,0.22,99.890
BS12108V,SG6U46980731,T-bills,182,2000,29/10/2012,01/11/2012,02/05/2013,3990.0,N/A,2.00,0.28,99.860,0.25,99.875,0.22,99.890
BS12109A,SG6U47980748,T-bills,182,2000,12/11/2012,15/11/2012,16/05/2013,4286.0,N/A,2.14,0.27,99.865,0.23,99.885,0.22,99.890
BS12110T,SG6U48980754,T-bills,182,2000,26/11/2012,29/11/2012,30/05/2013,3863.5,N/A,1.93,0.28,99.860,0.26,99.870,0.24,99.880
BS12111X,SG6U49980761,T-bills,182,2000,10/12/2012,13/12/2012,13/06/2013,3831.4,N/A,1.92,0.28,99.860,0.27,99.865,0.25,99.875
BS12112W,SG6U50980775,T-bills,182,2000,24/12/2012,27/12/2012,27/06/2013,3868.9,N/A,1.93,0.29,99.855,0.27,99.865,0.25,99.875
BS13100E,SG6X39986833,T-bills,182,2000,07/01/2013,10/01/2013,11/07/2013,3653.3,N/A,1.83,0.29,99.855,0.27,99.865,0.24,99.880
BS13101F,SG6X40986848,T-bills,182,2000,21/01/2013,24/01/2013,25/07/2013,4100.1,N/A,2.05,0.26,99.870,0.23,99.885,0.22,99.890
BS13102Z,SG6X41986854,T-bills,186,2000,04/02/2013,07/02/2013,12/08/2013,3445.7,N/A,1.72,0.29,99.852,0.25,99.873,0.23,99.883
BS13103S,SG6X42986861,T-bills,182,2000,18/02/2013,21/02/2013,22/08/2013,3649.0,N/A,1.82,0.29,99.855,0.27,99.865,0.26,99.870
BS13104H,SG6X43986878,T-bills,182,2000,04/03/2013,07/03/2013,05/09/2013,3894.6,N/A,1.95,0.28,99.860,0.25,99.875,0.24,99.880
BS13105T,SG6X44986885,T-bills,182,2000,18/03/2013,21/03/2013,19/09/2013,4102.2,N/A,2.05,0.26,99.870,0.24,99.880,0.20,99.900
BS13106X,SG6X45986892,T-bills,183,2800,01/04/2013,04/04/2013,04/10/2013,5071.0,N/A,1.81,0.24,99.880,0.20,99.900,0.18,99.910
BS13107W,SG6X46986909,T-bills,183,2800,15/04/2013,18/04/2013,18/10/2013,5365.9,N/A,1.92,0.26,99.870,0.22,99.890,0.19,99.905
BS13108N,SG6X47986916,T-bills,183,2800,29/04/2013,02/05/2013,01/11/2013,6168.9,N/A,2.20,0.24,99.880,0.21,99.895,0.18,99.910
BS13109V,SG6X48986923,T-bills,183,2800,13/05/2013,16/05/2013,15/11/2013,5252.8,N/A,1.88,0.27,99.865,0.20,99.900,0.18,99.910
BS13110H,SG6X49986930,T-bills,183,2800,27/05/2013,30/05/2013,29/11/2013,4587.8,N/A,1.64,0.31,99.845,0.26,99.870,0.23,99.885
BS13111T,SG6X50986944,T-bills,183,2800,10/06/2013,13/06/2013,13/12/2013,4328.2,N/A,1.55,0.31,99.845,0.26,99.870,0.23,99.885
BS13112X,SG6X51986950,T-bills,183,2800,24/06/2013,27/06/2013,27/12/2013,4517.5,N/A,1.61,0.35,99.825,0.22,99.890,0.20,99.900
BS13113W,SG55B9991264,T-bills,183,2800,08/07/2013,11/07/2013,10/01/2014,6393.1,N/A,2.28,0.30,99.850,0.24,99.880,0.22,99.890
BS13114N,SG55C0991279,T-bills,183,2800,22/07/2013,25/07/2013,24/01/2014,4863.1,N/A,1.74,0.31,99.845,0.28,99.860,0.23,99.885
BS13115V,SG55C1991286,T-bills,179,2800,05/08/2013,12/08/2013,07/02/2014,5805.2,N/A,2.07,0.30,99.853,0.25,99.877,0.22,99.892
BS13116A,SG55C2991293,T-bills,183,2800,19/08/2013,22/08/2013,21/02/2014,5022.9,N/A,1.79,0.30,99.850,0.23,99.885,0.21,99.895
BS13117E,SG55C3991300,T-bills,183,2800,02/09/2013,05/09/2013,07/03/2014,5205.7,N/A,1.86,0.29,99.855,0.28,99.860,0.25,99.875
